spectrum_id,scan,Precursor_MZ,Charge,Smiles,INCHI,InChIKey_smiles,InChIKey_inchi
CCMSLIB00000085868,1133,322.034,1,COc1cc(C[C@@H](C)N)c(OC)cc1I.Cl,N/A,QVFDMWGKHUFODK-OGFXRTJISA-N,
CCMSLIB00000085869,1134,373.099,1,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23.Cl,N/A,CEUMONXVSJOJIH-UHFFFAOYSA-N,
CCMSLIB00000085870,1135,305.112,1,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,N/A,FHIVAFMUCKRCQO-UHFFFAOYSA-N,
CCMSLIB00000085871,1136,528.192,1,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)C.Cl,N/A,GUGHGUXZJWAIAS-QQYBVWGSSA-N,
CCMSLIB00000085872,1137,319.167,1,COCCCC\C(=N/OCCN)\c1ccc(cc1)C(F)(F)F.[O-]C(=O)/C=C\C(=O)[O-],N/A,LFMYNZPAVPMEGP-PIDGMYBPSA-L,
CCMSLIB00000085873,1138,358.22,1,C[C@@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@]34C)[C@@H]2CC[C@@]1(O)CCC(=O)[O-].[K+],N/A,JTZQCHFUGHIPDF-RYVBEKKQSA-M,
CCMSLIB00000085874,1139,231.022,1,NC(=N)NN=Cc1c(Cl)cccc1Cl,N/A,WDZVGELJXXEGPV-UHFFFAOYSA-N,
CCMSLIB00000085875,1140,282.226,1,CCN(CCCc1ccccc1)CCCc2ccccc2.OC(=O)CC(O)(CC(=O)O)C(=O)O,N/A,RYHCACJBKCOBTJ-UHFFFAOYSA-N,
CCMSLIB00000085876,1141,285.05,1,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,N/A,SVYBEBLNQGDRHF-UHFFFAOYSA-N,
CCMSLIB00000085877,1142,316.037,1,FC(F)(F)C1(OC(=O)Nc2ccc(Cl)cc21)C#CC3CC3,N/A,XPOQHMRABVBWPR-UHFFFAOYSA-N,
CCMSLIB00000085878,1143,309.115,1,CC(=O)CC(c1ccccc1)c2c(O)oc3ccccc3c2=O,N/A,QTXVAVXCBMYBJW-UHFFFAOYSA-N,
